id;train_loss;train_acc;val_acc;val_loss
0;1.408411;0.481602;0.489899;
1;1.355941;0.492424;0.489899;
2;1.338661;0.492424;0.484848;
3;1.337209;0.494589;0.484848;
4;1.322240;0.493506;0.484848;
5;1.311527;0.495671;0.484848;
6;1.285698;0.503247;0.479798;
7;1.284632;0.501082;0.474747;
8;1.290419;0.496753;0.469697;
9;1.271086;0.500000;0.469697;
10;1.274483;0.501082;0.479798;
11;1.245376;0.531385;0.474747;
12;1.239519;0.507576;0.484848;
13;1.246345;0.524892;0.474747;
14;1.236046;0.521645;0.459596;
15;1.218753;0.509740;0.484848;
16;1.207998;0.533550;0.469697;
17;1.193534;0.535714;0.449495;
18;1.214031;0.530303;0.469697;
19;1.203029;0.529221;0.469697;
20;1.217590;0.535714;0.459596;
21;1.175851;0.528139;0.474747;
22;1.172796;0.532468;0.459596;
23;1.161464;0.545455;0.469697;
24;1.164798;0.544372;0.469697;
25;1.152331;0.547619;0.464646;
26;1.145808;0.560606;0.479798;
27;1.153299;0.554113;0.484848;
28;1.140839;0.558442;0.489899;
29;1.136773;0.558442;0.500000;
30;1.145211;0.541126;0.484848;
31;1.125489;0.570346;0.484848;
32;1.120581;0.571429;0.484848;
33;1.117680;0.556277;0.515152;
34;1.098207;0.582251;0.505051;
35;1.091184;0.562771;0.505051;
36;1.084790;0.582251;0.505051;
37;1.067682;0.587662;0.510101;
38;1.083407;0.588745;0.510101;
39;1.085899;0.570346;0.520202;
40;1.101146;0.571429;0.525253;
41;1.064876;0.577922;0.515152;
42;1.045683;0.602814;0.474747;
43;1.079607;0.590909;0.530303;
44;1.058616;0.591991;0.520202;
45;1.045113;0.588745;0.520202;
46;1.037701;0.604978;0.530303;
47;1.024866;0.617965;0.545455;
48;1.047437;0.597403;0.530303;
49;1.029158;0.607143;0.535354;
50;1.006386;0.608225;0.535354;
51;0.975970;0.629870;0.535354;
52;1.004010;0.616883;0.530303;
53;0.981957;0.606061;0.540404;
54;0.977425;0.609307;0.520202;
55;0.974509;0.623377;0.535354;
56;0.985417;0.621212;0.535354;
57;0.963279;0.632035;0.505051;
58;0.951191;0.630952;0.500000;
59;0.970618;0.613636;0.525253;
60;0.937670;0.625541;0.525253;
61;0.971893;0.625541;0.535354;
62;0.952307;0.630952;0.540404;
63;0.941375;0.653680;0.530303;
64;0.938462;0.649351;0.515152;
65;0.928768;0.648268;0.535354;
66;0.946249;0.634199;0.525253;
67;0.910707;0.645022;0.494949;
68;0.928489;0.660173;0.530303;
69;0.905835;0.645022;0.494949;
70;0.893365;0.662338;0.525253;
71;0.890917;0.665584;0.525253;
72;0.884181;0.658009;0.515152;
73;0.889483;0.641775;0.505051;
74;0.867699;0.668831;0.530303;
75;0.894958;0.661255;0.515152;
76;0.871535;0.663420;0.515152;
77;0.892311;0.653680;0.520202;
78;0.838741;0.685065;0.510101;
79;0.855756;0.677489;0.510101;
80;0.843312;0.675325;0.505051;
81;0.853291;0.676407;0.525253;
82;0.859749;0.673160;0.510101;
83;0.808737;0.695887;0.500000;
84;0.837423;0.679654;0.525253;
85;0.810316;0.689394;0.525253;
86;0.839691;0.689394;0.505051;
87;0.791169;0.695887;0.500000;
88;0.854567;0.672078;0.505051;
89;0.795749;0.699134;0.525253;
90;0.810594;0.699134;0.545455;
91;0.779342;0.702381;0.530303;
92;0.788918;0.694805;0.505051;
93;0.749737;0.694805;0.500000;
94;0.749871;0.705628;0.500000;
95;0.787974;0.705628;0.500000;
96;0.805589;0.673160;0.474747;
97;0.781426;0.711039;0.500000;
98;0.768062;0.726190;0.494949;
99;0.754111;0.717532;0.500000;
100;0.750638;0.714286;0.479798;
101;0.738556;0.725108;0.479798;
102;0.754978;0.725108;0.510101;
103;0.710329;0.746753;0.494949;
104;0.695344;0.742424;0.500000;
105;0.735947;0.718615;0.489899;
106;0.725984;0.730519;0.489899;
107;0.688434;0.754329;0.469697;
108;0.702932;0.727273;0.459596;
109;0.715864;0.729437;0.494949;
110;0.727190;0.735931;0.494949;
111;0.682241;0.738095;0.464646;
112;0.680794;0.737013;0.489899;
113;0.672702;0.738095;0.484848;
114;0.643519;0.757576;0.500000;
115;0.682745;0.741342;0.479798;
116;0.674122;0.750000;0.479798;
117;0.697780;0.739177;0.444444;
118;0.688013;0.748918;0.459596;
119;0.648052;0.754329;0.469697;
120;0.646875;0.751082;0.474747;
121;0.624975;0.773810;0.449495;
122;0.649979;0.760823;0.489899;
123;0.619220;0.774892;0.489899;
124;0.636325;0.758658;0.449495;
125;0.582186;0.790043;0.500000;
126;0.657761;0.765152;0.500000;
127;0.641602;0.752165;0.500000;
128;0.629896;0.775974;0.474747;
129;0.614830;0.764069;0.459596;
130;0.619806;0.778139;0.464646;
131;0.607289;0.788961;0.459596;
132;0.591869;0.781385;0.459596;
133;0.630998;0.759740;0.444444;
134;0.637728;0.770563;0.479798;
135;0.629733;0.767316;0.474747;
136;0.573886;0.791126;0.459596;
137;0.610036;0.770563;0.489899;
138;0.597379;0.782468;0.464646;
139;0.595828;0.781385;0.459596;
140;0.551219;0.799784;0.444444;
141;0.564223;0.811688;0.439394;
142;0.555808;0.786797;0.449495;
143;0.557552;0.794372;0.434343;
144;0.538929;0.799784;0.414141;
145;0.557809;0.793290;0.479798;
146;0.543045;0.803030;0.424242;
147;0.547348;0.801948;0.474747;
148;0.550448;0.788961;0.459596;
149;0.537543;0.795455;0.474747;
150;0.514409;0.821429;0.444444;
151;0.544359;0.811688;0.494949;
152;0.516688;0.797619;0.469697;
153;0.501494;0.801948;0.459596;
154;0.523255;0.810606;0.449495;
155;0.528965;0.791126;0.469697;
156;0.516399;0.816017;0.469697;
157;0.528605;0.805195;0.454545;
158;0.523243;0.813853;0.479798;
159;0.482996;0.818182;0.464646;
160;0.485088;0.813853;0.505051;
161;0.501382;0.816017;0.474747;
162;0.529830;0.806277;0.464646;
163;0.517116;0.814935;0.454545;
164;0.520476;0.797619;0.489899;
165;0.491217;0.824675;0.469697;
166;0.497000;0.808442;0.449495;
167;0.480828;0.808442;0.469697;
168;0.501467;0.811688;0.469697;
169;0.474445;0.827922;0.474747;
170;0.486524;0.799784;0.459596;
